,content
144,"This was the worst aircraft I have ever used. ....seemed old and out-dated. Table tray was broken on my seat. Except 1 hard working nice air hostess....all others were BAD. One of them was horrible....she had disgusting expressions on her face. In this flight we only got 2 meals in 15 hour journey....and we have to ask for second one...
"
145,"The round-trip experience was terrible -- broken controller, broken screen (not every button on touch screen is sensitive), even broken sound socket for the whole flight!
I was so unlucky to sit next to passengers who sit very widespread with their arms invading my sitting area for both flights. Also the parents did not ask their children to behave, who...
"
146,"They cancelled our flight on departure day without trying to find any solution. Then they came back with ""find yourself another flight""...
They just ruined our hollidays...
I will never travel again with air India
"
147,"On our return to England, after a two week stay, my daughter and I took a taxi to Indira Gandhi Airport in Delhi to catch our 2.30 am flight (which we had booked in April and for which I had received an 'on schedule' email that day. This was for 2/1/2018.
We arrived at check in at 22.15 pm on...
"
148,"Excellent flight, reached 40 minutes earlier to Mangalore. Very good seating, food and beverages served during the flight. Check-in, luggage clearance all fantastic. Crew were friendly and best flight.
"
149,"We had heard a lot of not so good reviews about Air India but decided to take the flight as we were booking last minute and flight timings matched our requirements. Although the staff was courteous and tried their best to provide prompt service, you could make out that they have had enough of dealing with the airlines incompetence on...
"
150,"I'm frequent flyer of AirIndia and have traveled countless times both domestically and internationally. I have also flown the Sydney - Delhi - Sydney route few times. Domestically AirIndia has always been really good and except for one incident where the flight attendant told me if I wish to remain seated in the emergency seat I would need to listen...
"
151,"It was after a gap of more than 10 years that we flew by Air India last month. The experience was Satisfactory overall. We even got a complimentary snack - a small size burger in flight. The aircraft was aged and it showed on the noise level while take off and landing. The flight took off on time. The aircraft...
"
152,"Inspite of checking in 3 hours before the flight, we were given the last row - next to the toilets. Very disappointed!
"
153,"Along with spouse and a child, we were flying to Bhubaneshwar from New Delhi on a early morning flight (Flight no AI 77) at 7:00 AM for a vacation in Puri. The flight time is of around 2 hours from push back to landing. The aircraft is an Airbus A320 and has meal service on board. This flight is run...
"
154,"Air India is the flagship airlines of our country. Unfortunately their aircrafts are very ill maintained compared to any European Airlines. The interior decor is in shabby condition, at times things do not work. Service is not good. Food quality is poor. Washrooms are very poorly maintained.
"
